ID,title,artist,year,gender,points,n,n1,n2,n3,n4,n5,PixelX,PixelY
243,Quiet Storm (Remix ft. Lil Kim),Mobb Deep,1999,male,4,1,0,0,0,1,0,361,150
244,Quiet Storm (Remix),Mobb Deep ft. Lil’ Kim,1999,mixed,4,1,0,0,0,1,0,169,151
245,Renegade,JAY-Z ft. Eminem,2001,male,4,1,0,0,0,1,0,359,151
246,Respiration,Black Star ft. Common,1998,male,4,1,0,0,0,1,0,360,151
247,Sim Dope,AKA,2014,male,4,1,0,0,0,1,0,361,151
248,Sippin On Some Syrup,Three 6 Mafia ft. UGK,2000,male,4,1,0,0,0,1,0,358,153
249,Sky’s The Limit,The Notorious B.I.G ft. 112,1997,male,4,1,0,0,0,1,0,34,154
250,Slow It Down,Little Brother,2005,male,4,1,0,0,0,1,0,113,154
251,So What’cha Want,Beastie Boys,1992,male,4,1,0,0,0,1,0,163,155
252,Sock It 2 Me,Missy Elliott ft. Da Brat,1997,female,4,1,0,0,0,1,0,164,155
253,Swangin’ and Bangin',E.S.G.,1993,male,4,1,0,0,0,1,0,286,155
254,Tha Crossroads,Bone Thugs-N-Harmony,1996,male,4,1,0,0,0,1,0,320,155
255,Tried by 12,East Flatbush Project,1996,male,4,1,0,0,0,1,0,321,155
256,Who Am I (What’s My Name)?,Snoop Dogg,1993,male,4,1,0,0,0,1,0,353,155
257,All Caps,Madvillain,2004,male,2,1,0,0,0,0,1,354,155
258,All Falls Down,Kanye West ft. Syleena Johnson,2004,mixed,2,1,0,0,0,0,1,164,156
259,B.I.B.L.E. (Basic Instructions Before Leaving Earth),Killah Priest,1995,male,2,1,0,0,0,0,1,353,156
260,Bible On The Dash,Gunplay,2012,male,2,1,0,0,0,0,1,165,157
261,Big Pimpin',JAY-Z ft. UGK,1999,male,2,1,0,0,0,0,1,166,157
262,Bitch Don’t Kill My Vibe,Kendrick Lamar,2012,male,2,1,0,0,0,0,1,351,157
263,Clear Blue Skies,Juggaknots,1996,mixed,2,1,0,0,0,0,1,353,157
264,Concrete Schoolyard,Jurassic 5,1998,male,2,1,0,0,0,0,1,287,159
265,Da Art of Storytellin’ (Pt. 2),OutKast,1998,male,2,1,0,0,0,0,1,86,160
266,Da Mystery Of Chessboxin',Wu-Tan Clan,1993,male,2,1,0,0,0,0,1,119,161
267,Déjà Vu (Uptown Baby),Lord Tariq & Peter Gunz,1998,male,2,1,0,0,0,0,1,122,161
268,Dipset Anthem,Diplomats ft. Juelz Santana & Cam’ron,2003,male,2,1,0,0,0,0,1,123,161
269,DNA,Kendrick Lamar,2017,male,2,1,0,0,0,0,1,124,161
270,Fuck Tha World,Lil Wayne,1999,male,2,1,0,0,0,0,1,126,161
271,Fuck Wit Dre Day (And Everybody’s Celebratin’),Dr Dre ft. Snoop Doggy Dogg,1993,male,2,1,0,0,0,0,1,147,161
272,God’s Plan,Drake,2018,male,2,1,0,0,0,0,1,119,162
273,Gold Digger,Kanye West ft. Jamie Foxx,2005,male,2,1,0,0,0,0,1,122,162
274,Gucci Gucci,Kreayshawn,2011,female,2,1,0,0,0,0,1,123,162
275,Heart Of The City (Ain’t No Love),JAY-Z,2001,male,2,1,0,0,0,0,1,124,162
276,HYFR,Drake ft. Lil Wayne,2011,male,2,1,0,0,0,0,1,147,162
277,I Used To Love H.E.R.,Common,1994,male,2,1,0,0,0,0,1,119,163
278,Insane In The Brain,Cypress Hill,1993,male,2,1,0,0,0,0,1,120,163
279,It Was A Good Day (B-Side Remix version),Ice Cube,1994,male,2,1,0,0,0,0,1,121,163
280,It’s Your World (Part 1 & 2),Common,2005,male,2,1,0,0,0,0,1,123,163
281,L'Americano,Akhenaton,1995,male,2,1,0,0,0,0,1,124,163
282,Look At Me!,XXXTENTACION,2015,male,2,1,0,0,0,0,1,142,163
283,Looking At The Front Door,Main Source,1990,male,2,1,0,0,0,0,1,210,163
284,Lost In The World,Kanye West ft. Bon Iver,2010,male,2,1,0,0,0,0,1,45,164
285,Love Again (Akinyele Back),Run The Jewels ft. Gangsta Boo,2014,mixed,2,1,0,0,0,0,1,123,164
286,Love Sosa,Chief Keef,2012,male,2,1,0,0,0,0,1,45,165
287,March Madness,Future,2015,male,2,1,0,0,0,0,1,120,165
288,Mortal Man,Kendrick Lamar,2015,male,2,1,0,0,0,0,1,46,166
289,Mtaktak,Shabjdeed & Al Nather,2019,male,2,1,0,0,0,0,1,47,166
290,Ngqangqa,Kanyi,2017,female,2,1,0,0,0,0,1,142,166
291,Nice For What,Drake,2018,male,2,1,0,0,0,0,1,84,167
292,No Diggity,Blackstreet ft. Dr Dre and Queen Pen,1996,mixed,2,1,0,0,0,0,1,144,167
293,O.P.P.,Naughty By Nature,1991,male,2,1,0,0,0,0,1,45,168
294,Pacifier,Young Thug,2015,male,2,1,0,0,0,0,1,82,168
295,Paid In Full (Seven Minutes Of Madness – The Coldcut Remix),Eric B & Rakim,1987,male,2,1,0,0,0,0,1,120,170
296,Pass That Dutch,Missy Elliott,2003,female,2,1,0,0,0,0,1,120,171
297,Realer,Megan Thee Stallion,2019,female,2,1,0,0,0,0,1,43,172
298,Regrets,JAY-Z,1996,male,2,1,0,0,0,0,1,87,174
299,Rock Wit U,Joe ft. G-Unit,2003,male,2,1,0,0,0,0,1,139,174
300,Root Down,Beastie Boys,1994,male,2,1,0,0,0,0,1,87,175
301,Scotty,D4L,2005,male,2,1,0,0,0,0,1,90,175
302,Shinjitsu No Dangan,King Giddra,1995,male,2,1,0,0,0,0,1,344,175
303,Shoop,Salt-N-Pepa,1993,female,2,1,0,0,0,0,1,47,177
304,Still Fly,Big Tymers,2002,male,2,1,0,0,0,0,1,344,177
305,The Breaks,Kurtis Blow,1980,male,2,1,0,0,0,0,1,332,180
306,Throw Some D’s,Rich Boy,2007,male,2,1,0,0,0,0,1,175,181
307,Time’s Up,O.C.,1994,male,2,1,0,0,0,0,1,356,181
308,Turn On The Lights,Future,2012,male,2,1,0,0,0,0,1,347,182
309,Warning,The Notorious B.I.G.,1994,male,2,1,0,0,0,0,1,61,183
310,Who Dat,J.T. Money ft. Solé,1999,mixed,2,1,0,0,0,0,1,116,185
311,Wipe Me Down (Remix),Foxx & Lil Boosie & Webbie,2006,male,2,1,0,0,0,0,1,156,186
